Name,City,Country,Customer,Email,Fax,Is a Company,Mobile,Phone,Reference,State,Street,Street2,Supplier,Zip,Account Payable,Account Receivable
ABDI SEJAHTERA PAPUA CV,Semarang,Indonesia,TRUE,sejahterai@gmail.com,89029001,TRUE,09355234,2880898,A-00001,,Ahmad Yani,,TRUE,42111,2-110001,1-121001
BERDIKARI. UD,Bandung,Indonesia,TRUE,berdikari.ud@gmail.com,4272633,TRUE,03560539,2438130,B-00001,,Sudirman,,TRUE,29751,2-110001,1-121001
CAHAYA BAKERY,Bandung,Indonesia,TRUE,cahayabakery@gmail.com,2135942,TRUE,06553065,7355536,C-00001,,Diponegoro,,TRUE,26096,2-110001,1-121001
FAJAR PUTRA UTAMA,Bandung,Indonesia,TRUE,fajarputrautama@gmail.com,5139641,TRUE,07153943,7077688,F-00001,,Tendean,,TRUE,26678,2-110001,1-121001
FAUZIAH,Medan,Indonesia,TRUE,fauziah@gmail.com,4743307,TRUE,03369469,7283763,F-00002,,Juanda,,TRUE,37764,2-110001,1-121001
HENRA,Medan,Indonesia,TRUE,henra@gmail.com,4048645,TRUE,02872607,5544232,H-00001,,Cut Nyak Din,,TRUE,35330,2-110001,1-121001
HERMANUS,Medan,Indonesia,TRUE,hermanus@gmail.com,3107592,TRUE,03341896,5304485,H-00002,,Cut Meutia,,TRUE,38315,2-110001,1-121001
"INDO PANGAN SENTOSA, CV",Bandung,Indonesia,TRUE,"indopangansentosa,cv@gmail.com",3070526,TRUE,06954743,2435068,I-00001,,Imam Bonjol,,TRUE,54865,2-110001,1-121001
INDOPRIMA,Bandung,Indonesia,TRUE,indoprima@gmail.com,2303214,TRUE,06887562,6263615,I-00002,,Hasanudin,,TRUE,37148,2-110001,1-121001
INTI MANDIRI SUKSES CV,Bandung,Indonesia,TRUE,intimandirisuksescv@gmail.com,7932210,TRUE,03617514,2870576,I-00003,,Teuku Umar,,TRUE,56796,2-110001,1-121001
